instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp_daily,atemp_daily,hum_daily,windspeed_daily,casual_daily,registered_daily,cnt_daily,day_name,year_month,casual_hourly,registered_hourly,cnt_hourly,temp_hourly,atemp_hourly,hum_hourly,windspeed_hourly
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331.0,654.0,985.0,Saturday,2011-01,331,655.0,987.0,0.3441666666666667,0.36362500000000003,0.8058333333333333,0.16044583333333332
2,2011-01-02,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131.0,670.0,801.0,Sunday,2011-01,131,670.0,802.0,0.3634782608695652,0.35373913043478256,0.696086956521739,0.24853913043478262
3,2011-01-03,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120.0,1229.0,1349.0,Monday,2011-01,120,1229.0,1350.0,0.19636363636363638,0.18940454545454546,0.43727272727272726,0.2483090909090909
4,2011-01-04,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108.0,1454.0,1562.0,Tuesday,2011-01,108,1454.0,1563.0,0.19999999999999998,0.21212173913043478,0.5904347826086956,0.16029565217391303
5,2011-01-05,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82.0,1518.0,1600.0,Wednesday,2011-01,82,1518.0,1600.0,0.22695652173913042,0.2292695652173913,0.43695652173913047,0.1869
6,2011-01-06,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88.0,1518.0,1606.0,Thursday,2011-01,88,1518.0,1607.0,0.20434782608695654,0.23320869565217392,0.5182608695652174,0.08956521739130435
7,2011-01-07,1,0,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726,148.0,1362.0,1510.0,Friday,2011-01,148,1362.0,1512.0,0.1965217391304348,0.2088391304347826,0.498695652173913,0.16872608695652175
8,2011-01-08,1,0,1,0,6,0,2,0.165,0.162254,0.535833,0.266804,68.0,891.0,959.0,Saturday,2011-01,68,891.0,960.0,0.165,0.16225416666666667,0.5358333333333333,0.2668041666666667
9,2011-01-09,1,0,1,0,0,0,1,0.138333,0.116175,0.434167,0.36195,54.0,768.0,822.0,Sunday,2011-01,54,768.0,825.0,0.13833333333333334,0.11617499999999999,0.43416666666666665,0.36195
10,2011-01-10,1,0,1,0,1,1,1,0.150833,0.150888,0.482917,0.223267,41.0,1280.0,1321.0,Monday,2011-01,41,1281.0,1323.0,0.15083333333333335,0.1508875,0.48291666666666666,0.2232666666666667
